Course Name,Course Code,Course Description,Distribution Requirements,Breadth Requirements,Prerequisites,Corequisites,Hours
Introduction to Academic Studies,ABP100Y1,"This interdisciplinary, skills-focused course parallels the other component courses of the full-time Academic Bridging Program, supplementing those courses and helping students integrate their entire Academic Bridging experience, while providing intensive, workshop-style training in the fundamental skills needed for success in further university studies in the Humanities and Social Sciences. The course will also provide academic advising and planning, to help students understand and navigate university culture. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",Distribution Requirements: Humanities,"Breadth Requirements: Creative and Cultural Representations (1), Society and its Institutions (3)",N/A,N/A,Hours: 72S
Introduction to Academic Studies in the Sciences,ABP101Y1,"This interdisciplinary, skills-focused course parallels the other component courses of the full-time ABP Science Option, supplementing those courses and helping students integrate their entire Academic Bridging experience, while providing intensive, workshop-style training in the fundamental skills needed for success in further university studies in Mathematics and the Sciences. The course will also provide academic advising and planning, to help students understand and navigate university culture. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,Hours: 72S
Contemporary Canada,ABP102Y1,"This interdisciplinary, foundational course provides an introduction to contemporary Canadian society. The course includes the study of geography, politics, literature and culture through a historical framework of the twentieth century. It also emphasizes particular themes including indigenous issues, Quebec nationalism, gender/women's issues and immigration/multiculturalism. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.","Distribution Requirements: Humanities, Social Science","Breadth Requirements: Creative and Cultural Representations (1), Society and its Institutions (3)",N/A,N/A,Hours: 72L
Introduction to the Study of Literature,ABP103Y1,"This discipline based, writing intensive course introduces essential rhetorical and critical skills, focusing on how to recognize major literary forms and how to read and analyze outstanding classic and contemporary literary works of drama, poetry and fiction. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 72L
Environmental Issues Today,ABP104Y1,"This interdisciplinary course introduces the major issues regarding the sustainability of the global environment in the face of human development by integrating humanities and social science with the fundamental concept of environmental science. It examines major environmental problems, such as rapid climate change and land degradation as well as the role and impact of government, economics, and ethics on environmental issues. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 72L
Indigenous Cultures and Societies,ABP105Y1,"This course provides an interdisciplinary focus on key topics relevant to Indigenous communities, historically and in the present. Students will be introduced to diverse cultures, communities, and worldviews of Indigenous peoples of Turtle Island (particularly Canada) and how they have been affected by colonialism. Emphasis will be placed on the ways Indigenous peoples are resisting social, economic, political, and environmental injustices, while revitalizing their identities, knowledges, and communities and creating space for the expression of Indigenous voices. Storytelling that prioritizes the perspectives and worldviews of Indigenous peoples will guide students’ learning about course topics, issues, and concepts. Students will be encouraged to connect their own storied identities and perspectives to course themes and issues. Classes will involve a mix of interactive lectures, class discussion, student-led learning opportunities, and field trips. Class time and assignments will also be devoted to helping students build their critical thinking, reading, and writing skills towards the completion of a research-based essay due at the end of the year. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 72L
"Media, Culture, and Society",ABP106Y1,"This interdisciplinary course provides an introduction to the cultural and social impacts of present-day popular mass media. Themes explored include the economic and political forces that shape the media world, the role of technology, and issues of representation, gender, and social justice. The course examines a wide range of texts, emphasizing popular culture produced in Canada, and students will have the opportunity to draw extensively on their own interactions with popular media. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 72L
Introduction to University Studies in Mathematics,ABP107Y1,"This course focuses on mathematical concepts and skills needed for success in First Year university Math and Science courses. Students will develop quantitative reasoning abilities required to critique arguments and make decisions, and will gain a deep understanding of functions modeling relationships. The course highlights multiple representations of each topic, emphasizing connections, and workshop-style sessions enable students to strengthen the skills they learn. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,Hours: 72L
Introduction to University Studies in Chemistry,ABP108Y1,"This course covers the fundamental knowledge and skills needed for success in First Year university Chemistry and other Sciences such as Biology. Topics include atoms, elements, and compounds; the chemical and physical properties of gases, liquids, and solids; chemical reactions; and the importance of chemistry in understanding the world around us, with attention to how it can address issues in medicine, the environment, and sustainability. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,Hours: 72L
Diverse Histories of Canada,ABP109Y1,"This course explores diverse, under-acknowledged narratives of people, such as Indigenous and racialized peoples, within the territories currently known as Canada to challenge monolithic, linear, and uncritical representations of this country's past and future. Archival materials, maps, place names, art, literature, film, and other texts will be approached from interdisciplinary perspectives to reveal different orientations to historical events, social injustices, and futures of this territory. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 72L
Decipher Financial Puzzles in the Media and Pop Culture,ACT199H1,"Have you ever watched a pundit’s passionate rant over financial crisis on TV and wondered whether he was right or wrong? Did you get the full story after watching movies like Margin Call or The Big Short? What was the efficiency market versus behavioral finance debate all about? Did you wonder why everyone in the financial press seem to be calling for a lower debt/equity ratio on banks in the post-crisis era? If you find yourself think about those questions, this is the course for you. We will start from some basic building blocks of finance, such as time value of money and discounting, and proceed to look at some of the important financial controversies you have read or heard in the pop culture or media. Restricted to first-year students. Not eligible for CR/NCR option.",N/A,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,Hours: 24L
Mathematics of Finance for Non-Actuaries,ACT230H1,"Introduction to financial mathematics, interest measurement, present value calculation, annuity valuation, loan amortization, consumer financing arrangements, bond valuation. The course is aimed at a general audience who will not be continuing in the actuarial science program. Course manuals fee: $30.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),Prerequisite: First-year Calculus,N/A,Hours: 24L/12T
Mathematics of Investment & Credit,ACT240H1,"Interest, discount and present values, as applied to determine prices and values of annuities, mortgages, bonds, equities; loan repayment schedules and consumer finance payments in general; yield rates on investments given the costs on investments. Course manuals fee: $45.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),Prerequisite: MAT137Y1 (minimum grade 63%)/ MAT157Y1 (minimum grade 60%),N/A,Hours: 24L/12T
Financial Principles for Actuarial Science I,ACT245H1,"Term structure of interest rates, cashflow duration, convexity and immunization, forward and futures contracts, interest rate swaps, introduction to investment derivatives and hedging strategies.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),"Prerequisite: ACT240H1,  MAT137Y1 (minimum grade 63%)/ MAT157Y1 (minimum grade 60%)",N/A,Hours: 24L/12T
Introductory Life Contingencies,ACT247H1,"Probability theory applied to survival and to costs and risks of life assurances, life annuities, and pensions; analysis of survival distributions; international actuarial notation. Course manuals fee: $35.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),Prerequisite: ACT240H1;  MAT137Y1 (minimum grade 63%)/ MAT157Y1 (minimum grade 60%);  STA257H1,N/A,Hours: 36L
